CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
C0041856,2025-12-01,ABC-BRASIL,200001,B1,C,3,,,SP,São Paulo,S3,C0041856,C0080312,28195667,A
C0080312,2025-12-01,ABC-BRASIL - PRUDENCIAL,180001,B1,I,3,,Crédito Atacado,SP,São Paulo,S3,C0041856,C0080312,28195667,A
C0052302,2025-12-01,ABN AMRO,202205,B1,C,3,,,SP,São Paulo,S4,C0052302,C0081579,03532415,A
C0051956,2025-12-01,AGIBANK,201608,B1,C,3,,,SP,Campinas,S3,C0051956,C0083694,10664513,A
C0083694,2025-12-01,AGIBANK - PRUDENCIAL,180001,B1,I,3,,Crédito Varejo,SP,Campinas,S3,C0051956,C0083694,10664513,A
01542356,2025-12-01,AGROBANCO-BANCO COMERCIAL S.A.,194602,B1,I,2,Banco Comercial,,GO,Goiânia,,,,,I
C0051949,2025-12-01,ANDBANK,201502,B1,C,3,,,SP,São Paulo,S4,C0051949,C0081256,48795256,A
C0081256,2025-12-01,ANDBANK - PRUDENCIAL,180001,B1,I,3,,Crédito Varejo,SP,São Paulo,S4,C0051949,C0081256,48795256,A
09978168,2025-12-01,BANCA COMMERCIALE ITALIANA,197411,B1,I,3,Banco Comercial Estrangeiro - Filial no país,,SP,São Paulo,,,,,I
28195667,2025-12-01,BANCO ABC BRASIL S.A.,198312,B1,I,3,Banco Múltiplo,,SP,São Paulo,S3,C0041856,C0080312,28195667,A
03532415,2025-12-01,BANCO ABN AMRO CLEARING S.A.,199912,B1,I,3,Banco Múltiplo,,SP,São Paulo,S4,C0052302,C0081579,03532415,A
33066408,2025-12-01,BANCO ABN AMRO REAL S.A.,196703,B1,I,3,Banco Múltiplo,,SP,São Paulo,,,,,I
C0083539,2025-12-01,BANCO AFINZ BM - PRUDENCIAL,180001,B1,I,2,,Serviços,SP,Sorocaba,S4,,C0083539,04814563,A
04814563,2025-12-01,BANCO AFINZ S.A. - BANCO MÚLTIPLO,201007,B1,I,2,Banco Múltiplo,,SP,Sorocaba,S4,,C0083539,04814563,A
10664513,2025-12-01,BANCO AGIBANK S.A.,200903,B1,I,3,Banco Comercial,,SP,Campinas,S3,C0051956,C0083694,10664513,A
24986770,2025-12-01,BANCO AGRIMISA S.A.,193107,B1,I,2,Banco Múltiplo,,MG,Belo Horizonte,,,,,I
09777385,2025-12-01,BANCO AGROPASTORIL DE MINAS GERAIS S.A.,180001,B1,I,2,Banco Comercial,,,,,,,,I
03323840,2025-12-01,BANCO ALFA S.A.,199909,B1,I,2,Banco Comercial,,SP,São Paulo,S2,C0010083,C0080109,58160789,A
33870163,2025-12-01,BANCO ALVORADA S.A.,196810,B1,I,3,Banco Múltiplo,,BA,Salvador,S1,,,,I
48795256,2025-12-01,BANCO ANDBANK (BRASIL) S.A.,197708,B1,I,3,Banco Múltiplo,,SP,São Paulo,S4,C0051949,C0081256,48795256,A
33861840,2025-12-01,BANCO APLICAP S.A.,197903,B1,I,2,Banco Comercial,,RJ,Rio de Janeiro,,,,,LO
78336633,2025-12-01,BANCO ARAUCÁRIA S.A.,197912,B1,I,2,Banco Múltiplo,,PR,Curitiba,,,,,I
54403563,2025-12-01,BANCO ARBI S.A.,196910,B1,I,2,Banco Comercial,,RJ,Rio de Janeiro,S4,,C0081201,54403563,A
